Filename, Records (Actual), Labeled Size, DataType, ParameterSet, Pivot Type, KStop, InsertionSort, Time(nS), Time(uS), Time(mS), Final Check Result, User Generated Data, GaussianSequential, Presorted sample [1:30], Sorted sample [1:30], Path, Full Path
asc5K.dat, 5000, 5000, ASCENDING, QS_1ST_K_1_NO_IS, FIRST_ELEMENT, 1, No, 7087700, 7087, 7.09, true, false, false,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31, res\input\asc5K.dat, O:\OneDrive\Code\IntelliJ\Timmons\res\input\asc5K.dat
asc5K.dat, 5000, 5000, ASCENDING, QS_1ST_K_100_IS, FIRST_ELEMENT, 100, Yes, 7486400, 7486, 7.49, true, false, false,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31, res\input\asc5K.dat, O:\OneDrive\Code\IntelliJ\Timmons\res\input\asc5K.dat
asc5K.dat, 5000, 5000, ASCENDING, QS_1ST_K_50_IS, FIRST_ELEMENT, 50, Yes, 7827500, 7827, 7.83, true, false, false,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31, res\input\asc5K.dat, O:\OneDrive\Code\IntelliJ\Timmons\res\input\asc5K.dat
asc5K.dat, 5000, 5000, ASCENDING, QS_MID_K_1_NO_IS, MEDIAN_OF_THREE, 1, No, 160700, 160, 0.16, true, false, false,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31, res\input\asc5K.dat, O:\OneDrive\Code\IntelliJ\Timmons\res\input\asc5K.dat
asc5K.dat, 5000, 5000, ASCENDING, QS_MID_K_1_NO_IS_ALT, MEDIAN_OF_THREE_WITH_SWAPS, 1, No, 149900, 149, 0.15, true, false, false,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31, res\input\asc5K.dat, O:\OneDrive\Code\IntelliJ\Timmons\res\input\asc5K.dat
asc5K.dat, 5000, 5000, ASCENDING, QS_MID_WSWAP_K_1_NO_IS, MEDIAN_OF_THREE_ALT, 1, No, 157800, 157, 0.16, true, false, false,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31, res\input\asc5K.dat, O:\OneDrive\Code\IntelliJ\Timmons\res\input\asc5K.dat
dup10K.dat, 10000, 10000, DUPLICATE, QS_1ST_K_1_NO_IS, FIRST_ELEMENT, 1, No, 2789300, 2789, 2.79, false, false, false,  (0)2708 806 6250 1818 6882 (5)8345 1210 3424 7786 1103 (10)1268 4675 8891 5514 8072 (15)8816 8892 8503 7900 5681 (20)9234 9836 2915 2218 417 (25)2237 7939 883 736 565 (30)2591,  (0)1 2 3 5 4 (5)6 6 8 10 9 (10)12 11 13 14 15 (15)17 16 18 20 19 (20)21 21 22 24 25 (25)26 27 28 28 29 (30)31, res\input\dup10K.dat, O:\OneDrive\Code\IntelliJ\Timmons\res\input\dup10K.dat
dup10K.dat, 10000, 10000, DUPLICATE, QS_1ST_K_100_IS, FIRST_ELEMENT, 100, Yes, 4156100, 4156, 4.16, true, false, false,  (0)2708 806 6250 1818 6882 (5)8345 1210 3424 7786 1103 (10)1268 4675 8891 5514 8072 (15)8816 8892 8503 7900 5681 (20)9234 9836 2915 2218 417 (25)2237 7939 883 736 565 (30)2591,  (0)1 2 3 4 5 (5)6 6 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 21 22 24 25 (25)26 27 28 28 29 (30)31, res\input\dup10K.dat, O:\OneDrive\Code\IntelliJ\Timmons\res\input\dup10K.dat
dup10K.dat, 10000, 10000, DUPLICATE, QS_1ST_K_50_IS, FIRST_ELEMENT, 50, Yes, 1585300, 1585, 1.58, true, false, false,  (0)2708 806 6250 1818 6882 (5)8345 1210 3424 7786 1103 (10)1268 4675 8891 5514 8072 (15)8816 8892 8503 7900 5681 (20)9234 9836 2915 2218 417 (25)2237 7939 883 736 565 (30)2591,  (0)1 2 3 4 5 (5)6 6 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 21 22 24 25 (25)26 27 28 28 29 (30)31, res\input\dup10K.dat, O:\OneDrive\Code\IntelliJ\Timmons\res\input\dup10K.dat
dup10K.dat, 10000, 10000, DUPLICATE, QS_MID_K_1_NO_IS, MEDIAN_OF_THREE, 1, No, 1965900, 1965, 1.97, false, false, false,  (0)2708 806 6250 1818 6882 (5)8345 1210 3424 7786 1103 (10)1268 4675 8891 5514 8072 (15)8816 8892 8503 7900 5681 (20)9234 9836 2915 2218 417 (25)2237 7939 883 736 565 (30)2591,  (0)1 2 3 4 5 (5)6 6 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 21 22 24 25 (25)26 27 28 28 29 (30)31, res\input\dup10K.dat, O:\OneDrive\Code\IntelliJ\Timmons\res\input\dup10K.dat
dup10K.dat, 10000, 10000, DUPLICATE, QS_MID_K_1_NO_IS_ALT, MEDIAN_OF_THREE_WITH_SWAPS, 1, No, 1784500, 1784, 1.78, false, false, false,  (0)2708 806 6250 1818 6882 (5)8345 1210 3424 7786 1103 (10)1268 4675 8891 5514 8072 (15)8816 8892 8503 7900 5681 (20)9234 9836 2915 2218 417 (25)2237 7939 883 736 565 (30)2591,  (0)1 2 3 4 5 (5)6 6 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 21 22 24 25 (25)26 27 28 28 29 (30)31, res\input\dup10K.dat, O:\OneDrive\Code\IntelliJ\Timmons\res\input\dup10K.dat
dup10K.dat, 10000, 10000, DUPLICATE, QS_MID_WSWAP_K_1_NO_IS, MEDIAN_OF_THREE_ALT, 1, No, 2839400, 2839, 2.84, false, false, false,  (0)2708 806 6250 1818 6882 (5)8345 1210 3424 7786 1103 (10)1268 4675 8891 5514 8072 (15)8816 8892 8503 7900 5681 (20)9234 9836 2915 2218 417 (25)2237 7939 883 736 565 (30)2591,  (0)1 2 3 4 5 (5)6 6 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 21 22 24 25 (25)26 27 28 28 29 (30)31, res\input\dup10K.dat, O:\OneDrive\Code\IntelliJ\Timmons\res\input\dup10K.dat
